"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2020,16,"Idaho","Information",15694,861,269716000
2021,16,"Idaho","Information",15849,858,292597000
2001,16,"Idaho","Leisure and Hospitality",50883,3499,125204000
2002,16,"Idaho","Leisure and Hospitality",49495,3704,120222000
2003,16,"Idaho","Leisure and Hospitality",52749,3698,133755000
2004,16,"Idaho","Leisure and Hospitality",56073,3809,145806000
2005,16,"Idaho","Leisure and Hospitality",57911,3926,152096000
2006,16,"Idaho","Leisure and Hospitality",60104,4005,168183000
2007,16,"Idaho","Leisure and Hospitality",62481,4207,182156000
2008,16,"Idaho","Leisure and Hospitality",62768,4210,194141000
2009,16,"Idaho","Leisure and Hospitality",58761,4197,183045000
2010,16,"Idaho","Leisure and Hospitality",57895,4249,178691000
2011,16,"Idaho","Leisure and Hospitality",57622,4236,184107000
2012,16,"Idaho","Leisure and Hospitality",60748,4312,197991000
2013,16,"Idaho","Leisure and Hospitality",61737,4290,211425000
2014,16,"Idaho","Leisure and Hospitality",65083,4285,219370000
2015,16,"Idaho","Leisure and Hospitality",68322,4372,237971000
2016,16,"Idaho","Leisure and Hospitality",70547,4471,253120000
2017,16,"Idaho","Leisure and Hospitality",73317,4664,267628000
2018,16,"Idaho","Leisure and Hospitality",78531,4799,304141000
2019,16,"Idaho","Leisure and Hospitality",81487,4858,323951000
2020,16,"Idaho","Leisure and Hospitality",83390,4876,342947000
2021,16,"Idaho","Leisure and Hospitality",79353,5108,337147000
2001,16,"Idaho","Manufacturing",65084,1729,513464000
2002,16,"Idaho","Manufacturing",59119,1763,486838000
2003,16,"Idaho","Manufacturing",60898,1778,574640000
2004,16,"Idaho","Manufacturing",59124,1805,540427000
2005,16,"Idaho","Manufacturing",57289,1849,516748000
2006,16,"Idaho","Manufacturing",63083,1870,658545000
2007,16,"Idaho","Manufacturing",58390,1960,635155000
2008,16,"Idaho","Manufacturing",56230,1934,620818000
2009,16,"Idaho","Manufacturing",49156,1800,573845000
2010,16,"Idaho","Manufacturing",48720,1757,525085000
2011,16,"Idaho","Manufacturing",50284,1732,577413000
2012,16,"Idaho","Manufacturing",51430,1768,595483000
2013,16,"Idaho","Manufacturing",53445,1739,617605000
2014,16,"Idaho","Manufacturing",38461,1753,384267000
2015,16,"Idaho","Manufacturing",57066,1754,740760000
2016,16,"Idaho","Manufacturing",58551,1794,684022000
2017,16,"Idaho","Manufacturing",57811,1869,750443000
2018,16,"Idaho","Manufacturing",61116,1901,871577000
2019,16,"Idaho","Manufacturing",63452,1905,898688000
2020,16,"Idaho","Manufacturing",63801,1928,910788000
2021,16,"Idaho","Manufacturing",66124,2023,948486000
2001,16,"Idaho","Other Services",19259,3061,79594000
2002,16,"Idaho","Other Services",18000,3169,73852000
2003,16,"Idaho","Other Services",17514,3114,75315000
2004,16,"Idaho","Other Services",18058,3156,79824000
2005,16,"Idaho","Other Services",18372,3219,83423000
2006,16,"Idaho","Other Services",19548,3299,93279000
2007,16,"Idaho","Other Services",19880,3340,102316000
2008,16,"Idaho","Other Services",19233,3330,105314000
2009,16,"Idaho","Other Services",18565,3316,100368000
2010,16,"Idaho","Other Services",18006,3289,96478000
2011,16,"Idaho","Other Services",17756,3241,98011000
2012,16,"Idaho","Other Services",17489,3274,100856000
2013,16,"Idaho","Other Services",18313,3278,105390000
2014,16,"Idaho","Other Services",18592,3379,112847000
2015,16,"Idaho","Other Services",19626,3390,119546000
2016,16,"Idaho","Other Services",20204,3443,126273000
2017,16,"Idaho","Other Services",20379,3502,136053000
2018,16,"Idaho","Other Services",21343,3619,146498000
2019,16,"Idaho","Other Services",22064,3682,156090000
2020,16,"Idaho","Other Services",22336,3738,166423000
2021,16,"Idaho","Other Services",21981,3972,172948000
2001,16,"Idaho","Professional and Business Services",59406,4999,432217000
2002,16,"Idaho","Professional and Business Services",59134,5239,471055000
2003,16,"Idaho","Professional and Business Services",69664,5443,514355000
2004,16,"Idaho","Professional and Business Services",76942,5669,553896000
2005,16,"Idaho","Professional and Business Services",86044,5977,663911000
2006,16,"Idaho","Professional and Business Services",87188,6389,750714000
2007,16,"Idaho","Professional and Business Services",67920,6764,625352000
2008,16,"Idaho","Professional and Business Services",67213,6700,687864000
2009,16,"Idaho","Professional and Business Services",65568,6653,568383000
2010,16,"Idaho","Professional and Business Services",62253,6614,529134000
2011,16,"Idaho","Professional and Business Services",61904,6537,622980000
2012,16,"Idaho","Professional and Business Services",59542,6671,556522000
2013,16,"Idaho","Professional and Business Services",61786,6666,559209000
2014,16,"Idaho","Professional and Business Services",69097,6870,629686000
2015,16,"Idaho","Professional and Business Services",79797,7086,802617000
2016,16,"Idaho","Professional and Business Services",79257,7171,811818000
2017,16,"Idaho","Professional and Business Services",83693,7427,907601000
2018,16,"Idaho","Professional and Business Services",86334,7695,985463000
2019,16,"Idaho","Professional and Business Services",89555,7937,1073540000
2020,16,"Idaho","Professional and Business Services",92756,8204,1168667000
2021,16,"Idaho","Professional and Business Services",92933,8759,1221207000
2001,16,"Idaho","Public Administration",1802,75,16283000
2002,16,"Idaho","Public Administration",963,66,9189000
2001,16,"Idaho","Trade, Transportation, and Utilities",110611,9404,673553000
2002,16,"Idaho","Trade, Transportation, and Utilities",110108,9533,723929000
2003,16,"Idaho","Trade, Transportation, and Utilities",110266,9622,662166000
2004,16,"Idaho","Trade, Transportation, and Utilities",112996,9676,685520000
2005,16,"Idaho","Trade, Transportation, and Utilities",117001,9876,741004000
2006,16,"Idaho","Trade, Transportation, and Utilities",122293,10069,832757000
2007,16,"Idaho","Trade, Transportation, and Utilities",122840,10413,838664000
2008,16,"Idaho","Trade, Transportation, and Utilities",124344,10222,872514000
2009,16,"Idaho","Trade, Transportation, and Utilities",114201,9864,804707000
2010,16,"Idaho","Trade, Transportation, and Utilities",111688,9723,769696000
2011,16,"Idaho","Trade, Transportation, and Utilities",110623,9627,798752000
2012,16,"Idaho","Trade, Transportation, and Utilities",113900,9802,873281000
2013,16,"Idaho","Trade, Transportation, and Utilities",116554,9757,902777000
2014,16,"Idaho","Trade, Transportation, and Utilities",124581,9803,1069991000
2015,16,"Idaho","Trade, Transportation, and Utilities",133403,10018,1213542000
2016,16,"Idaho","Trade, Transportation, and Utilities",136167,10159,1264265000
2017,16,"Idaho","Trade, Transportation, and Utilities",136861,10277,1317474000
2018,16,"Idaho","Trade, Transportation, and Utilities",138951,10321,1412868000
2019,16,"Idaho","Trade, Transportation, and Utilities",141931,10310,1476468000
2020,16,"Idaho","Trade, Transportation, and Utilities",144688,10377,1556505000
2021,16,"Idaho","Trade, Transportation, and Utilities",148626,10597,1607269000
2001,16,"Idaho","Unclassified",234,517,661000
2002,16,"Idaho","Unclassified",36,146,156000
2003,16,"Idaho","Unclassified",96,138,210000
2004,16,"Idaho","Unclassified",150,185,365000
2005,16,"Idaho","Unclassified",40,110,113000
2006,16,"Idaho","Unclassified",151,135,697000
2007,16,"Idaho","Unclassified",7,34,99000
2008,16,"Idaho","Unclassified",13,38,69000
2009,16,"Idaho","Unclassified",0,59,140000
2010,16,"Idaho","Unclassified",43,80,138000
2011,16,"Idaho","Unclassified",35,81,193000
2012,16,"Idaho","Unclassified",0,37,0
2013,16,"Idaho","Unclassified",11,56,31000
2014,16,"Idaho","Unclassified",16,77,34000
2015,16,"Idaho","Unclassified",75,82,255000
2016,16,"Idaho","Unclassified",105,86,376000
2017,16,"Idaho","Unclassified",65,35,347000
2018,16,"Idaho","Unclassified",29,41,136000
2019,16,"Idaho","Unclassified",38,44,189000
2020,16,"Idaho","Unclassified",85,65,332000
2021,16,"Idaho","Unclassified",32,56,170000
2001,17,"Illinois","Agriculture and Mining",6834,1018,67067000
2002,17,"Illinois","Agriculture and Mining",7149,999,76123000
2003,17,"Illinois","Agriculture and Mining",6461,982,69271000
2004,17,"Illinois","Agriculture and Mining",7361,974,78218000
2005,17,"Illinois","Agriculture and Mining",6315,927,71337000
2006,17,"Illinois","Agriculture and Mining",6121,908,78302000
2007,17,"Illinois","Agriculture and Mining",5416,887,63981000
2008,17,"Illinois","Agriculture and Mining",4516,893,66137000
2009,17,"Illinois","Agriculture and Mining",5219,876,69117000
2010,17,"Illinois","Agriculture and Mining",4570,887,59122000
2011,17,"Illinois","Agriculture and Mining",4917,884,68846000
2012,17,"Illinois","Agriculture and Mining",5038,903,75710000
2013,17,"Illinois","Agriculture and Mining",4765,910,77494000
2014,17,"Illinois","Agriculture and Mining",4673,892,78582000
2015,17,"Illinois","Agriculture and Mining",7292,880,107679000
2016,17,"Illinois","Agriculture and Mining",6800,866,93609000
2017,17,"Illinois","Agriculture and Mining",6420,749,94197000
2018,17,"Illinois","Agriculture and Mining",7598,727,126597000
2019,17,"Illinois","Agriculture and Mining",7849,679,133393000
2020,17,"Illinois","Agriculture and Mining",6894,676,111307000
2021,17,"Illinois","Agriculture and Mining",6148,653,93203000
2001,17,"Illinois","Construction",258854,29581,2666192000
2002,17,"Illinois","Construction",249606,29977,2701464000
2003,17,"Illinois","Construction",253199,30931,2650268000
2004,17,"Illinois","Construction",257982,31845,2706499000
2005,17,"Illinois","Construction",249753,32551,2813029000
2006,17,"Illinois","Construction",261708,32671,3138156000
2007,17,"Illinois","Construction",251226,32919,3080868000
2008,17,"Illinois","Construction",243366,31926,3125415000
2009,17,"Illinois","Construction",204224,29827,2718497000
2010,17,"Illinois","Construction",185714,29175,2320418000
2011,17,"Illinois","Construction",177209,28363,2273723000
2012,17,"Illinois","Construction",179373,28087,2430905000
2013,17,"Illinois","Construction",176059,28087,2406892000
2014,17,"Illinois","Construction",181043,28286,2505366000
2015,17,"Illinois","Construction",198142,28676,2804239000
2016,17,"Illinois","Construction",208391,28904,3119666000
2017,17,"Illinois","Construction",207868,29168,3338696000
2018,17,"Illinois","Construction",212689,29306,3462158000
2019,17,"Illinois","Construction",217931,29200,3606676000
2020,17,"Illinois","Construction",219573,29143,3669896000
2021,17,"Illinois","Construction",211857,29471,3564989000
2001,17,"Illinois","Education and Health Services",762784,29929,5592839000
2002,17,"Illinois","Education and Health Services",775099,31050,5993722000
2003,17,"Illinois","Education and Health Services",787599,31472,6206754000
2004,17,"Illinois","Education and Health Services",800683,32047,6452342000
2005,17,"Illinois","Education and Health Services",804673,32769,6656482000
2006,17,"Illinois","Education and Health Services",837305,33335,7309811000
2007,17,"Illinois","Education and Health Services",834715,34519,7630276000
2008,17,"Illinois","Education and Health Services",856352,34983,8104014000
2009,17,"Illinois","Education and Health Services",869881,35385,8297659000
2010,17,"Illinois","Education and Health Services",878517,36141,8362791000
2011,17,"Illinois","Education and Health Services",888335,36611,8472844000
2012,17,"Illinois","Education and Health Services",913932,37196,9110974000
2013,17,"Illinois","Education and Health Services",916259,37518,9287541000
2014,17,"Illinois","Education and Health Services",918559,37709,9371792000
2015,17,"Illinois","Education and Health Services",958611,38197,9992648000
2016,17,"Illinois","Education and Health Services",972397,38367,10197681000
2017,17,"Illinois","Education and Health Services",971439,38710,10819120000
2018,17,"Illinois","Education and Health Services",977888,38848,11215249000
2019,17,"Illinois","Education and Health Services",991825,39119,11654620000
2020,17,"Illinois","Education and Health Services",1003611,39148,12242605000
2021,17,"Illinois","Education and Health Services",955477,39663,11916202000
2001,17,"Illinois","Financial Activities",432699,32941,7720370000
2002,17,"Illinois","Financial Activities",439132,34883,7220641000
2003,17,"Illinois","Financial Activities",437800,35886,7496210000
2004,17,"Illinois","Financial Activities",438136,36454,8159190000
2005,17,"Illinois","Financial Activities",422467,36781,8702022000
2006,17,"Illinois","Financial Activities",435984,37671,9983045000
2007,17,"Illinois","Financial Activities",429744,38145,10910556000
2008,17,"Illinois","Financial Activities",430937,37369,11811328000
2009,17,"Illinois","Financial Activities",403874,35978,9488303000
2010,17,"Illinois","Financial Activities",374783,34830,8942823000
2011,17,"Illinois","Financial Activities",364701,34137,10016572000
2012,17,"Illinois","Financial Activities",361258,34287,9982060000
2013,17,"Illinois","Financial Activities",369971,34502,10143905000
2014,17,"Illinois","Financial Activities",401900,34501,11801702000
2015,17,"Illinois","Financial Activities",410758,34308,12841577000
2016,17,"Illinois","Financial Activities",425060,34459,12620706000
2017,17,"Illinois","Financial Activities",420529,34836,13535830000
2018,17,"Illinois","Financial Activities",423229,34670,13530066000
2019,17,"Illinois","Financial Activities",423836,34602,14166296000
2020,17,"Illinois","Financial Activities",426716,34578,14704381000
2021,17,"Illinois","Financial Activities",432562,34456,16747819000
2001,17,"Illinois","Information",148794,5938,2123039000
2002,17,"Illinois","Information",140714,5730,1897997000
2003,17,"Illinois","Information",140125,5837,1962200000
2004,17,"Illinois","Information",133104,5749,1923771000
2005,17,"Illinois","Information",132185,5697,1928013000
2006,17,"Illinois","Information",128216,5736,2029639000
2007,17,"Illinois","Information",120772,5766,2057586000
2008,17,"Illinois","Information",128897,5667,2290119000
2009,17,"Illinois","Information",122724,5533,2174387000
2010,17,"Illinois","Information",118267,5535,2081308000
2011,17,"Illinois","Information",116145,5378,2168054000
2012,17,"Illinois","Information",116584,5286,2299180000
2013,17,"Illinois","Information",121017,5300,2358007000
2014,17,"Illinois","Information",122452,5426,2584085000
2015,17,"Illinois","Information",123314,5439,2673237000
2016,17,"Illinois","Information",122976,5640,2701042000
2017,17,"Illinois","Information",125640,5975,3001973000
2018,17,"Illinois","Information",129708,6091,3164959000
2019,17,"Illinois","Information",130259,6084,3324638000
2020,17,"Illinois","Information",124800,5909,3378166000
2021,17,"Illinois","Information",110437,5765,3356796000
2001,17,"Illinois","Leisure and Hospitality",489048,27580,1624824000
2002,17,"Illinois","Leisure and Hospitality",482588,28262,1648370000
2003,17,"Illinois","Leisure and Hospitality",499980,28914,1716387000
2004,17,"Illinois","Leisure and Hospitality",506274,29634,1747003000
2005,17,"Illinois","Leisure and Hospitality",507321,30132,1775931000
2006,17,"Illinois","Leisure and Hospitality",518594,30465,1956860000
2007,17,"Illinois","Leisure and Hospitality",540175,31326,2111132000
2008,17,"Illinois","Leisure and Hospitality",553807,31149,2211905000
2009,17,"Illinois","Leisure and Hospitality",531470,30930,2176731000
2010,17,"Illinois","Leisure and Hospitality",527343,31329,2155362000
2011,17,"Illinois","Leisure and Hospitality",528664,31278,2199464000
2012,17,"Illinois","Leisure and Hospitality",542354,31623,2390394000
2013,17,"Illinois","Leisure and Hospitality",557757,32278,2483207000
2014,17,"Illinois","Leisure and Hospitality",573628,32187,2601617000
