"year","cz","employment_march","establishments","payroll_quarter1"
2003,143,206096,15153,1234616000
2004,143,202341,16144,1296231000
2005,143,207631,16698,1382958000
2006,143,219468,16922,1541665000
2007,143,208747,17051,1565767000
2008,143,203112,16384,1566588000
2009,143,191714,15812,1503745000
2010,143,188052,15760,1433044000
2011,143,191573,15638,1537132000
2012,143,198371,15826,1637781000
2013,143,196152,15954,1646086000
2014,143,198229,16256,1705976000
2015,143,204546,16582,1812769000
2016,143,208646,16872,1900759000
2017,143,216343,17358,2102134000
2018,143,221623,17572,2195020000
2019,143,227509,17973,2353955000
2001,144,114857,6082,896139000
2002,144,114327,6347,922893000
2003,144,116459,6417,965869000
2004,144,115276,6537,990673000
2005,144,115074,6560,1001184000
2006,144,117463,6591,1062667000
2007,144,127525,6551,1270266000
2008,144,128235,6470,1273425000
2009,144,113475,6410,1081667000
2010,144,109955,6361,1046057000
2011,144,110118,6312,1072421000
2012,144,113146,6394,1143270000
2013,144,112659,6421,1151204000
2014,144,119564,6467,1276298000
2015,144,129843,6497,1645384000
2016,144,131477,6453,1710472000
2017,144,134362,6436,1797678000
2018,144,133407,6426,1959017000
2019,144,135433,6406,1867430000
2001,145,51482,3911,334882000
2002,145,48982,3898,322190000
2003,145,49506,3906,333453000
2004,145,48945,3914,344159000
2005,145,49649,3867,364169000
2006,145,51151,3894,390082000
2007,145,50331,3943,394342000
2008,145,49757,3863,405710000
2009,145,47473,3760,400905000
2010,145,47068,3720,381822000
2011,145,48175,3633,415095000
2012,145,50182,3660,457540000
2013,145,47823,3614,428142000
2014,145,49560,3579,459683000
2015,145,49757,3571,492024000
2016,145,49726,3511,496768000
2017,145,48397,3531,516729000
2018,145,47863,3484,517185000
2019,145,48525,3439,531179000
2001,146,93012,5012,608058000
2002,146,90610,5042,600088000
2003,146,89104,4998,604028000
2004,146,89984,5013,624251000
2005,146,87885,5000,629408000
2006,146,89481,5030,665340000
2007,146,91401,5026,7.12e+08
2008,146,89998,4907,728351000
2009,146,83822,4753,682985000
2010,146,81164,4762,665599000
2011,146,80536,4640,690250000
2012,146,80406,4628,720300000
2013,146,78697,4539,733039000
2014,146,79485,4510,755924000
2015,146,80572,4470,758381000
2016,146,80982,4523,728254000
2017,146,79421,4495,754657000
2018,146,80980,4522,799374000
2019,146,81006,4571,822596000
2001,147,32582,3754,155521000
2002,147,34523,3992,168271000
2003,147,34848,4100,180228000
2004,147,37495,4268,195735000
2005,147,37861,4382,212478000
2006,147,39286,4447,232775000
2007,147,38867,4523,244556000
2008,147,38564,4369,247812000
2009,147,35581,4191,227222000
2010,147,34084,4162,210450000
2011,147,33409,4072,214799000
2012,147,34253,4088,224454000
2013,147,35031,4082,244159000
2014,147,34383,4023,244793000
2015,147,34895,4046,257908000
2016,147,35573,4094,259287000
2017,147,35895,4177,281880000
2018,147,36798,4179,295335000
2019,147,37591,4233,310102000
2001,148,277881,16997,1831466000
2002,148,267516,16901,1772789000
2003,148,268291,16876,1791379000
2004,148,262790,16957,1792874000
2005,148,266095,16856,1826541000
2006,148,266055,16809,1951059000
2007,148,262024,16655,2004001000
2008,148,257038,16224,1981146000
2009,148,236092,15713,1789058000
2010,148,230198,15539,1682266000
2011,148,232638,15367,1816884000
2012,148,238349,15446,1959610000
2013,148,241433,15393,1997633000
2014,148,243554,15385,2110749000
2015,148,250388,15442,2297560000
2016,148,250347,15449,2205618000
2017,148,251531,15523,2322916000
2018,148,253135,15424,2453785000
2019,148,256095,15355,2554104000
2001,149,52319,3873,347042000
2002,149,50527,3873,335886000
2003,149,51131,3880,335694000
2004,149,51451,3874,340986000
2005,149,51413,3874,362834000
2006,149,52612,3945,409275000
2007,149,53713,4052,437992000
2008,149,54872,3973,464398000
2009,149,54650,3923,446351000
2010,149,53261,3954,439890000
2011,149,53334,3989,489337000
2012,149,54954,4051,540281000
2013,149,58322,4143,612239000
2014,149,59909,4204,659630000
2015,149,61289,4262,705287000
2016,149,58946,4163,638366000
2017,149,57752,4127,637545000
2018,149,58663,4170,701280000
2019,149,60579,4126,735700000
2001,150,17000,1261,85105000
2002,150,16477,1302,84549000
2003,150,15865,1293,80663000
2004,150,15839,1292,80476000
2005,150,15632,1301,81799000
2006,150,15473,1288,86590000
2007,150,14979,1291,86799000
2008,150,15328,1251,85356000
2009,150,13663,1216,78621000
2010,150,13300,1192,80489000
2011,150,12840,1140,81681000
2012,150,13281,1146,89144000
2013,150,13201,1127,86639000
2014,150,13014,1108,84034000
2015,150,13260,1106,89568000
2016,150,13595,1107,90484000
2017,150,13038,1120,92424000
2018,150,13045,1124,96656000
2019,150,13567,1124,98854000
2001,151,773547,63440,7517847000
2002,151,761319,64774,7542493000
2003,151,778617,65733,7749371000
2004,151,787293,67279,8177218000
2005,151,784061,68037,8528503000
2006,151,797403,68326,9253131000
2007,151,789747,69035,9829397000
2008,151,792497,68292,9985413000
2009,151,751526,67075,9179707000
2010,151,747149,67026,9497304000
2011,151,752511,66755,9663169000
2012,151,762763,66786,10343874000
2013,151,767178,67206,9991955000
2014,151,772583,67428,10431419000
2015,151,785984,67850,10621031000
2016,151,802089,68589,10539736000
2017,151,802553,68954,11081270000
2018,151,811218,69218,11701258000
2019,151,826927,69062,12435619000
2001,152,48363,3731,275272000
2002,152,48815,3808,272050000
2003,152,51539,3731,303188000
2004,152,51711,3779,314293000
2005,152,51766,3760,318161000
2006,152,50620,3802,314414000
2007,152,49863,3796,326708000
2008,152,49838,3716,335486000
2009,152,48770,3610,337577000
2010,152,48742,3564,335277000
2011,152,49476,3483,354067000
2012,152,49359,3479,375082000
2013,152,49015,3464,376341000
2014,152,49320,3426,390287000
2015,152,49473,3381,401326000
2016,152,47669,3365,393975000
2017,152,47960,3389,407584000
2018,152,48099,3389,419725000
2019,152,48059,3340,427195000
2001,153,222830,14628,1824064000
2002,153,211106,15138,1644673000
2003,153,210135,15383,1603975000
2004,153,211785,15910,1700946000
2005,153,214983,16395,1747670000
2006,153,225533,16963,1930277000
2007,153,235233,17269,2099813000
2008,153,232445,16874,2127719000
2009,153,222623,16578,2110403000
2010,153,219142,16675,2126794000
2011,153,218587,16553,2092569000
2012,153,220904,16595,2234699000
2013,153,228463,16804,2373507000
2014,153,230559,17099,2464383000
2015,153,233563,17354,2471282000
2016,153,242752,17951,2539372000
2017,153,249384,18402,2800308000
2018,153,253577,18758,2887577000
2019,153,258121,18863,3034004000
2001,154,94522,6515,603909000
2002,154,95694,6610,618069000
2003,154,97893,6650,638489000
2004,154,98469,6603,679202000
2005,154,98903,6585,725640000
2006,154,98607,6612,760406000
2007,154,98957,6828,795477000
2008,154,99616,6697,843164000
2009,154,96900,6659,839195000
2010,154,94774,6644,787265000
2011,154,95479,6607,841798000
2012,154,95464,6646,929162000
2013,154,98413,6810,943722000
2014,154,99678,6823,1004838000
2015,154,101829,6865,1044435000
2016,154,101202,6957,1036757000
2017,154,103287,7077,1104196000
2018,154,104496,7027,1172619000
2019,154,107026,7062,1275358000
2001,155,35414,2683,202770000
2002,155,35276,2696,208812000
2003,155,36411,2677,218551000
2004,155,36015,2666,216696000
2005,155,36322,2667,222940000
2006,155,36214,2656,238249000
2007,155,36128,2610,252438000
2008,155,37142,2571,264182000
2009,155,36003,2530,258073000
2010,155,35170,2512,249225000
2011,155,35259,2463,257628000
2012,155,35408,2462,265120000
2013,155,35370,2421,269452000
2014,155,35157,2392,271893000
2015,155,35799,2391,280261000
2016,155,35996,2349,287411000
2017,155,35973,2372,303510000
2018,155,34789,2318,308957000
2019,155,34079,2307,325117000
2001,156,27269,1811,149943000
2002,156,24196,1841,130806000
2003,156,25436,1776,143366000
2004,156,25527,1787,147238000
2005,156,25059,1753,151945000
2006,156,25784,1727,166997000
2007,156,25801,1740,163838000
2008,156,25485,1716,166131000
2009,156,23378,1672,151383000
2010,156,22647,1649,150757000
2011,156,23006,1600,153583000
2012,156,22997,1596,168358000
2013,156,23495,1588,171847000
2014,156,23715,1598,184267000
2015,156,23177,1560,175195000
2016,156,23120,1568,171946000
2017,156,22405,1569,182425000
2018,156,23501,1558,193684000
2019,156,23187,1554,204329000
2001,157,58474,3414,358236000
2002,157,58409,3453,373363000
2003,157,59675,3514,392499000
2004,157,60081,3548,405891000
2005,157,62797,3589,426579000
2006,157,63582,3652,450177000
2007,157,64388,3705,475001000
2008,157,64724,3675,498869000
2009,157,59821,3587,435766000
2010,157,59434,3639,460603000
2011,157,59086,3696,484743000
2012,157,59628,3676,508728000
2013,157,62290,3817,542122000
2014,157,62887,3864,569460000
2015,157,65221,3916,606327000
2016,157,66184,3932,621705000
2017,157,69804,3912,676189000
2018,157,69326,3757,699671000
2019,157,70453,3764,720661000
2001,158,1415520,76280,11615419000
2002,158,1403226,78686,11456313000
2003,158,1420681,80013,11836033000
2004,158,1452950,82832,12432493000
2005,158,1533841,87127,13600465000
2006,158,1650559,91791,15875435000
2007,158,1709037,95363,17273538000
2008,158,1657262,93962,17389894000
2009,158,1508727,90100,15871083000
2010,158,1464453,88755,15400469000
2011,158,1504689,87684,16036085000
2012,158,1514681,88887,17140543000
2013,158,1548793,90369,17335505000
2014,158,1585303,91877,18373199000
2015,158,1630597,93271,19481302000
2016,158,1683769,95752,19790366000
2017,158,1737512,99298,21868464000
2018,158,1811675,100749,23789153000
2019,158,1861043,102811,25066902000
2001,159,57988,4774,332594000
2002,159,58602,4865,347685000
2003,159,57625,4881,352009000
2004,159,59229,4928,360374000
2005,159,59421,4945,360396000
2006,159,60410,4962,387842000
2007,159,61256,5029,418974000
2008,159,62397,4907,443750000
2009,159,60546,4715,442408000
2010,159,60382,4670,464761000
2011,159,59359,4558,432478000
2012,159,59334,4521,476376000
2013,159,59451,4475,486957000
2014,159,59966,4435,498204000
2015,159,61655,4441,511053000
2016,159,62982,4513,529829000
2017,159,64332,4567,577761000
2018,159,64379,4630,594634000
2019,159,65491,4679,628908000
2001,160,56560,4046,322867000
2002,160,59801,4245,360721000
2003,160,59833,4301,356210000
2004,160,59835,4351,356942000
2005,160,60451,4451,371895000
2006,160,61840,4612,396200000
2007,160,62341,4658,414015000
2008,160,65253,4725,465654000
2009,160,64936,4674,464484000
2010,160,63925,4705,450619000
2011,160,64332,4681,472292000
2012,160,66564,4864,536177000
2013,160,69244,5002,572467000
2014,160,73188,5095,624821000
2015,160,76513,5152,654732000
2016,160,77435,5277,648234000
2017,160,80999,5418,725851000
2018,160,81996,5497,783464000
2019,160,84539,5555,830151000
2001,161,215141,11927,1598375000
2002,161,210037,12160,1528877000
2003,161,207469,12173,1564557000
2004,161,207369,12284,1608762000
2005,161,209487,12413,1663760000
2006,161,214528,12576,1853944000
2007,161,222809,12729,1913755000
2008,161,226887,12605,2059018000
2009,161,224561,12372,2027272000
2010,161,218660,12332,1976048000
2011,161,221153,12217,2070908000
2012,161,222585,12401,2256772000
2013,161,225945,12484,2334295000
2014,161,228483,12477,2400885000
2015,161,233345,12467,2527063000
2016,161,236517,12585,2527321000
2017,161,237436,12755,2682853000
2018,161,236879,12941,2773175000
2019,161,239482,12846,2845871000
2001,162,165567,9926,934581000
2002,162,158135,9971,910022000
2003,162,159459,9940,929446000
2004,162,163704,10119,959360000
2005,162,163262,10249,999198000
2006,162,167945,10400,1100988000
2007,162,171414,10464,1139659000
2008,162,172546,10332,1187663000
2009,162,163544,10274,1123631000
2010,162,162952,10321,1126490000
2011,162,163095,10115,1174506000
2012,162,163167,10172,1225586000
2013,162,161090,9997,1255728000
2014,162,157126,10015,1223775000
2015,162,158847,9946,1270843000
2016,162,162516,9941,1275421000
2017,162,161466,10055,1357826000
2018,162,161920,9952,1393743000
2019,162,165066,10027,1459719000
2001,163,94760,6932,598272000
2002,163,94316,6924,600593000
2003,163,95049,6878,628887000
2004,163,97484,6893,643005000
2005,163,99159,6972,683750000
2006,163,104629,7083,781467000
2007,163,108924,7260,859024000
2008,163,112337,7234,960880000
2009,163,108442,7221,944508000
2010,163,106089,7240,915051000
2011,163,108782,7295,996557000
2012,163,114546,7321,1119581000
2013,163,113773,7358,1122922000
2014,163,114885,7371,1173192000
2015,163,114653,7368,1194957000
2016,163,107831,7269,1088552000
2017,163,104785,7276,1074034000
2018,163,108815,7265,1169149000
2019,163,110998,7273,1234186000
2001,164,536778,31988,3920201000
2002,164,531095,31977,3938416000
2003,164,535075,32004,3946094000
2004,164,535495,32247,3985501000
2005,164,532670,32052,4031047000
2006,164,538953,31927,4336604000
2007,164,530460,31848,4462973000
2008,164,533439,31772,4592169000
2009,164,519671,31516,4442196000
2010,164,517389,31519,4423778000
2011,164,526403,31415,4765927000
2012,164,532440,31635,5097689000
2013,164,532742,31557,5225613000
2014,164,534383,31637,5393192000
2015,164,537619,31782,5471888000
2016,164,538628,31858,5466428000
2017,164,541674,31986,5791320000
2018,164,545036,31705,6051019000
2019,164,548292,31716,6318347000
2001,165,33707,2776,195352000
2002,165,34394,2830,200318000
2003,165,33963,2844,209817000
2004,165,34489,2882,226663000
2005,165,34525,2959,248758000
2006,165,35812,3061,252013000
2007,165,35898,3158,260628000
2008,165,36675,3064,266628000
2009,165,34240,2945,245168000
2010,165,32228,2860,229640000
2011,165,31588,2764,236388000
2012,165,31545,2777,244281000
2013,165,31866,2798,254584000
2014,165,33005,2807,268027000
2015,165,32901,2855,270645000
2016,165,33562,2901,283461000
2017,165,35077,2904,297500000
2018,165,35036,2960,310839000
2019,165,34807,2969,321278000
2001,166,79575,4438,501584000
2002,166,76776,4561,503954000
2003,166,77494,4543,520508000
2004,166,78342,4633,541628000
2005,166,79888,4572,556241000
2006,166,81727,4601,607730000
2007,166,77767,4686,581938000
2008,166,77947,4649,583263000
2009,166,72419,4546,539329000
2010,166,74047,4527,546546000
2011,166,76240,4433,570527000
2012,166,77780,4486,611820000
2013,166,76646,4502,600799000
2014,166,76842,4505,632527000
2015,166,78603,4484,649875000
2016,166,79897,4495,677189000
2017,166,79933,4547,725834000
2018,166,80949,4522,752409000
2019,166,80419,4542,755991000
2001,167,206548,11940,1347315000
2002,167,200125,11957,1249810000
2003,167,204648,11948,1329418000
2004,167,203371,11970,1401638000
2005,167,205751,11955,1437792000
2006,167,212267,12039,1537915000
2007,167,216649,12171,1622720000
2008,167,218511,12039,1709279000
2009,167,202595,11781,1585134000
2010,167,195125,11613,1613360000
2011,167,196740,11435,1832086000
2012,167,200351,11434,1955339000
2013,167,200157,11313,1887905000
2014,167,199610,11345,1940563000
2015,167,199660,11343,1924100000
2016,167,199823,11406,1930128000
2017,167,201836,11460,1985623000
2018,167,202876,11361,2089746000
2019,167,202601,11439,2081350000
2001,168,184837,13052,1208052000
2002,168,182875,13289,1215859000
2003,168,187224,13460,1255109000
2004,168,188591,13653,1300174000
2005,168,190602,13756,1354999000
2006,168,204863,14149,1580411000
2007,168,212700,14706,1712624000
2008,168,212713,14745,1852121000
2009,168,214752,14801,1914681000
2010,168,206013,14798,1789888000
2011,168,213494,14917,1993211000
2012,168,219386,15147,2167868000
2013,168,226281,15284,2325008000
2014,168,227566,15471,2446778000
2015,168,223815,15416,2414441000
2016,168,212921,15165,2126348000
2017,168,209165,15362,2111273000
2018,168,210089,15340,2233019000
2019,168,215229,15295,2397556000
2001,169,100639,5919,703451000
2002,169,97268,5956,666163000
2003,169,98552,5918,707591000
2004,169,98156,5901,708913000
2005,169,94811,5930,717461000
2006,169,95934,5926,768789000
2007,169,97447,6015,806952000
2008,169,99262,6070,859741000
2009,169,93943,5966,815692000
2010,169,90897,6016,754165000
2011,169,89564,6004,779842000
2012,169,90923,5973,825572000
2013,169,90453,6007,837463000
2014,169,89729,5961,842242000
2015,169,86433,5934,756241000
2016,169,85731,5910,759436000
2017,169,86001,5823,816483000
2018,169,86109,5801,843113000
2019,169,86495,5719,888219000
2001,170,1281980,70768,10801857000
2002,170,1196598,70389,10198502000
2003,170,1204477,70305,10412523000
2004,170,1187408,70480,10448945000
2005,170,1197519,70302,11033880000
2006,170,1200977,69663,11756949000
2007,170,1198086,69507,12250485000
2008,170,1181344,67684,12192208000
2009,170,1117925,65965,11617914000
2010,170,1086153,65081,11214126000
2011,170,1111057,64424,12005074000
2012,170,1131750,64528,12640097000
